,Date,HomeTeam,AwayTeam,avg_10fthg_h,avg_3fthg_h,expandfthg_h,avg_10ftag_h,avg_3ftag_h,expandftag_h,avg_10hthg_h,avg_3hthg_h,expandhthg_h,avg_10htag_h,avg_3htag_h,expandhtag_h,avg_10hs_h,avg_3hs_h,expandhs_h,avg_10as_h,avg_3as_h,expandas_h,avg_10hst_h,avg_3hst_h,expandhst_h,avg_10ast_h,avg_3ast_h,expandast_h,avg_10hf_h,avg_3hf_h,expandhf_h,avg_10af_h,avg_3af_h,expandaf_h,avg_10hc_h,avg_3hc_h,expandhc_h,avg_10ac_h,avg_3ac_h,expandac_h,avg_10fthg_a,avg_3fthg_a,expandfthg_a,avg_10ftag_a,avg_3ftag_a,expandftag_a,avg_10hthg_a,avg_3hthg_a,expandhthg_a,avg_10htag_a,avg_3htag_a,expandhtag_a,avg_10hs_a,avg_3hs_a,expandhs_a,avg_10as_a,avg_3as_a,expandas_a,avg_10hst_a,avg_3hst_a,expandhst_a,avg_10ast_a,avg_3ast_a,expandast_a,avg_10hf_a,avg_3hf_a,expandhf_a,avg_10af_a,avg_3af_a,expandaf_a,avg_10hc_a,avg_3hc_a,expandhc_a,avg_10ac_a,avg_3ac_a,expandac_a,FTR,avg3_goals_compare,avg3_away_goals_compare,avg3_home_goals_compare
0,2013-08-17 00:00:00,Arsenal,Aston Villa,1.579617834394905,1.573512906846241,1.7768028811543424,1.2242038216560502,1.2109988776655443,0.9739182697645227,0.680254777070064,0.6835016835016836,0.856278530198391,0.5401273885350316,0.5196408529741864,0.3995491591086911,15.082802547770697,14.856341189674525,15.315189146079547,12.175796178343953,12.154882154882156,11.701222912141148,5.062420382165604,4.986531986531983,5.519157235968556,3.959235668789809,3.9809203142536482,3.74733227329014,10.645859872611464,10.602693602693599,10.71459478393031,11.128662420382167,11.134680134680137,11.586487965807342,6.142038216560507,6.067340067340065,5.9104030202289115,4.757324840764333,4.78787878787879,4.542683364873198,1.5789808917197448,1.569023569023569,1.488745742270355,1.2292993630573243,1.2177328843995503,1.1357331929574805,0.6834394904458602,0.6823793490460156,0.6258061945138738,0.5388535031847135,0.5207631874298544,0.5361464169499035,15.0968152866242,14.858585858585862,15.283382678474373,12.180254777070065,12.162738496071825,11.100634987302962,5.07579617834395,4.986531986531984,4.944987383130713,3.9757961783439515,3.9887766554433233,3.6284527706332836,10.652229299363055,10.616161616161616,10.841610105763632,11.114012738853503,11.14702581369248,12.389086742964396,6.125477707006367,6.058361391694722,6.046856691215989,4.768152866242039,4.794612794612795,4.158123787334496,2.0,0.004489337822672024,0.006734006734006037,0.36251402918069675
1,2013-09-01 00:00:00,Arsenal,Tottenham,1.579617834394905,1.573512906846241,1.0,1.2242038216560502,1.2109988776655443,3.0,0.680254777070064,0.6835016835016836,1.0,0.5401273885350316,0.5196408529741864,1.0,15.082802547770697,14.856341189674525,16.0,12.175796178343953,12.154882154882156,9.0,5.062420382165604,4.986531986531983,4.0,3.959235668789809,3.9809203142536482,4.0,10.645859872611464,10.602693602693599,15.0,11.128662420382167,11.134680134680137,18.0,6.142038216560507,6.067340067340065,4.0,4.757324840764333,4.78787878787879,3.0,1.5789808917197448,1.569023569023569,1.64,1.2292993630573243,1.2177328843995503,0.96,0.6834394904458602,0.6823793490460156,0.6,0.5388535031847135,0.5207631874298544,0.6,15.0968152866242,14.858585858585862,15.68,12.180254777070065,12.162738496071825,10.76,5.07579617834395,4.986531986531984,5.0,3.9757961783439515,3.9887766554433233,3.44,10.652229299363055,10.616161616161616,10.0,11.114012738853503,11.14702581369248,13.56,6.125477707006367,6.058361391694722,6.72,4.768152866242039,4.794612794612795,3.88,1.0,0.004489337822672024,0.006734006734006037,0.36251402918069675
2,2013-09-22 00:00:00,Arsenal,Stoke,1.579617834394905,1.573512906846241,1.0,1.2242038216560502,1.2109988776655443,1.5,0.680254777070064,0.6835016835016836,1.0,0.5401273885350316,0.5196408529741864,0.5,15.082802547770697,14.856341189674525,14.0,12.175796178343953,12.154882154882156,11.5,5.062420382165604,4.986531986531983,4.5,3.959235668789809,3.9809203142536482,4.0,10.645859872611464,10.602693602693599,15.0,11.128662420382167,11.134680134680137,16.0,6.142038216560507,6.067340067340065,3.5,4.757324840764333,4.78787878787879,4.5,1.5789808917197448,1.569023569023569,1.488745742270355,1.2292993630573243,1.2177328843995503,1.1357331929574805,0.6834394904458602,0.6823793490460156,0.6258061945138738,0.5388535031847135,0.5207631874298544,0.5361464169499035,15.0968152866242,14.858585858585862,15.283382678474373,12.180254777070065,12.162738496071825,11.100634987302962,5.07579617834395,4.986531986531984,4.944987383130713,3.9757961783439515,3.9887766554433233,3.6284527706332836,10.652229299363055,10.616161616161616,10.841610105763632,11.114012738853503,11.14702581369248,12.389086742964396,6.125477707006367,6.058361391694722,6.046856691215989,4.768152866242039,4.794612794612795,4.158123787334496,1.0,0.004489337822672024,0.006734006734006037,0.36251402918069675
3,2013-10-19 00:00:00,Arsenal,Norwich,1.579617834394905,1.6666666666666667,1.6666666666666667,1.2242038216560502,1.3333333333333333,1.3333333333333333,0.680254777070064,1.3333333333333333,1.3333333333333333,0.5401273885350316,0.6666666666666666,0.6666666666666666,15.082802547770697,14.666666666666666,14.666666666666666,12.175796178343953,10.666666666666666,10.666666666666666,5.062420382165604,5.666666666666667,5.666666666666667,3.959235668789809,3.6666666666666665,3.6666666666666665,10.645859872611464,12.666666666666666,12.666666666666666,11.128662420382167,15.666666666666666,15.666666666666666,6.142038216560507,4.333333333333333,4.333333333333333,4.757324840764333,5.333333333333333,5.333333333333333,1.5789808917197448,1.0,1.6129032258064515,1.2292993630573243,0.3333333333333333,0.967741935483871,0.6834394904458602,0.6666666666666666,0.5645161290322581,0.5388535031847135,0.3333333333333333,0.41935483870967744,15.0968152866242,12.333333333333334,16.241935483870968,12.180254777070065,8.333333333333334,10.580645161290322,5.07579617834395,3.0,5.467741935483871,3.9757961783439515,2.6666666666666665,3.370967741935484,10.652229299363055,10.0,11.209677419354838,11.114012738853503,14.333333333333334,11.935483870967742,6.125477707006367,5.333333333333333,6.467741935483871,4.768152866242039,3.0,4.112903225806452,1.0,0.6666666666666667,1.0,0.3333333333333335
4,2013-11-02 00:00:00,Arsenal,Liverpool,1.579617834394905,2.6666666666666665,2.25,1.2242038216560502,0.6666666666666666,1.25,0.680254777070064,1.3333333333333333,1.25,0.5401273885350316,0.3333333333333333,0.5,15.082802547770697,16.0,16.0,12.175796178343953,11.666666666666666,11.0,5.062420382165604,8.0,7.0,3.959235668789809,4.333333333333333,4.25,10.645859872611464,10.333333333333334,11.5,11.128662420382167,12.0,13.5,6.142038216560507,6.333333333333333,5.75,4.757324840764333,4.666666666666667,4.25,1.5789808917197448,1.6666666666666667,1.6375,1.2292993630573243,2.3333333333333335,1.1125,0.6834394904458602,0.6666666666666666,0.6,0.5388535031847135,1.6666666666666667,0.5,15.0968152866242,18.0,16.1125,12.180254777070065,16.666666666666668,10.75,5.07579617834395,5.666666666666667,5.55,3.9757961783439515,6.0,3.5375,10.652229299363055,7.666666666666667,11.25,11.114012738853503,10.0,12.075,6.125477707006367,5.333333333333333,6.3625,4.768152866242039,9.333333333333334,4.275,1.0,0.9999999999999998,1.666666666666667,2.0
5,2013-11-23 00:00:00,Arsenal,Southampton,1.579617834394905,3.0,2.2,1.2242038216560502,0.6666666666666666,1.0,0.680254777070064,1.3333333333333333,1.2,0.5401273885350316,0.3333333333333333,0.4,15.082802547770697,16.0,15.2,12.175796178343953,11.0,11.2,5.062420382165604,8.666666666666666,7.0,3.959235668789809,4.333333333333333,4.2,10.645859872611464,9.0,11.4,11.128662420382167,9.666666666666666,12.2,6.142038216560507,6.333333333333333,5.2,4.757324840764333,4.333333333333333,4.4,1.5789808917197448,0.6666666666666666,1.488745742270355,1.2292993630573243,1.0,1.1357331929574805,0.6834394904458602,0.6666666666666666,0.6258061945138738,0.5388535031847135,0.3333333333333333,0.5361464169499035,15.0968152866242,10.333333333333334,15.283382678474373,12.180254777070065,13.333333333333334,11.100634987302962,5.07579617834395,4.333333333333333,4.944987383130713,3.9757961783439515,5.333333333333333,3.6284527706332836,10.652229299363055,9.666666666666666,10.841610105763632,11.114012738853503,13.666666666666666,12.389086742964396,6.125477707006367,5.0,6.046856691215989,4.768152866242039,5.0,4.158123787334496,1.0,2.3333333333333335,0.33333333333333337,2.3333333333333335
6,2013-12-04 00:00:00,Arsenal,Hull,1.579617834394905,2.6666666666666665,2.1666666666666665,1.2242038216560502,0.3333333333333333,0.8333333333333334,0.680254777070064,1.0,1.1666666666666667,0.5401273885350316,0.0,0.3333333333333333,15.082802547770697,13.666666666666666,14.166666666666666,12.175796178343953,11.333333333333334,11.0,5.062420382165604,7.333333333333333,6.5,3.959235668789809,4.666666666666667,4.166666666666667,10.645859872611464,9.666666666666666,11.166666666666666,11.128662420382167,9.333333333333334,12.5,6.142038216560507,6.0,5.166666666666667,4.757324840764333,4.0,4.666666666666667,1.5789808917197448,2.3333333333333335,1.5897435897435896,1.2292993630573243,0.6666666666666666,1.1282051282051282,0.6834394904458602,1.3333333333333333,0.6324786324786325,0.5388535031847135,0.3333333333333333,0.5128205128205128,15.0968152866242,14.666666666666666,15.777777777777779,12.180254777070065,9.666666666666666,10.991452991452991,5.07579617834395,6.333333333333333,5.333333333333333,3.9757961783439515,2.3333333333333335,3.5641025641025643,10.652229299363055,10.0,10.905982905982906,11.114012738853503,14.0,11.76923076923077,6.125477707006367,5.666666666666667,6.316239316239316,4.768152866242039,5.333333333333333,4.444444444444445,1.0,0.33333333333333304,0.3333333333333333,2.333333333333333
9,2014-01-01 00:00:00,Arsenal,Cardiff,1.579617834394905,1.0,1.7777777777777777,1.2242038216560502,0.3333333333333333,0.6666666666666666,0.680254777070064,0.3333333333333333,0.8888888888888888,0.5401273885350316,0.0,0.2222222222222222,15.082802547770697,12.666666666666666,13.666666666666666,12.175796178343953,10.666666666666666,10.88888888888889,5.062420382165604,4.666666666666667,5.888888888888889,3.959235668789809,3.3333333333333335,3.888888888888889,10.645859872611464,9.666666666666666,10.666666666666666,11.128662420382167,9.333333333333334,11.444444444444445,6.142038216560507,7.333333333333333,5.888888888888889,4.757324840764333,3.0,4.111111111111111,1.5789808917197448,1.6666666666666667,1.488745742270355,1.2292993630573243,0.3333333333333333,1.1357331929574805,0.6834394904458602,1.3333333333333333,0.6258061945138738,0.5388535031847135,0.0,0.5361464169499035,15.0968152866242,21.0,15.283382678474373,12.180254777070065,11.333333333333334,11.100634987302962,5.07579617834395,4.666666666666667,4.944987383130713,3.9757961783439515,2.6666666666666665,3.6284527706332836,10.652229299363055,10.333333333333334,10.841610105763632,11.114012738853503,12.333333333333334,12.389086742964396,6.125477707006367,6.333333333333333,6.046856691215989,4.768152866242039,4.333333333333333,4.158123787334496,1.0,0.6666666666666667,0.0,0.6666666666666667
10,2014-01-18 00:00:00,Arsenal,Fulham,1.8,1.0,1.8,0.6,0.3333333333333333,0.6,0.8,0.0,0.8,0.2,0.0,0.2,15.1,15.333333333333334,15.1,10.6,11.0,10.6,5.9,4.333333333333333,5.9,3.7,3.3333333333333335,3.7,10.2,8.666666666666666,10.2,11.4,11.0,11.4,6.5,7.666666666666667,6.5,3.9,3.3333333333333335,3.9,2.4,3.6666666666666665,1.488745742270355,0.8,1.0,1.1357331929574805,0.8,0.6666666666666666,0.6258061945138738,0.3,0.3333333333333333,0.5361464169499035,21.4,18.333333333333332,15.283382678474373,7.2,12.0,11.100634987302962,7.7,7.666666666666667,4.944987383130713,2.3,4.0,3.6284527706332836,11.9,11.666666666666666,10.841610105763632,9.6,8.666666666666666,12.389086742964396,8.5,7.666666666666667,6.046856691215989,2.9,2.3333333333333335,4.158123787334496,1.0,2.6666666666666665,0.6666666666666667,0.6666666666666667
11,2014-02-02 00:00:00,Arsenal,Crystal Palace,1.9,1.3333333333333333,1.8181818181818181,0.3,0.0,0.5454545454545454,0.7,0.0,0.7272727272727273,0.1,0.0,0.18181818181818182,15.7,19.0,15.727272727272727,10.5,9.666666666666666,10.363636363636363,6.3,5.333333333333333,6.090909090909091,3.5,2.6666666666666665,3.5454545454545454,9.2,6.0,9.727272727272727,10.3,9.666666666666666,11.0,6.5,8.0,6.2727272727272725,4.0,4.0,3.909090909090909,1.5,1.0,1.5598086124401913,0.4,0.3333333333333333,1.277511961722488,0.8,0.0,0.6889952153110048,0.1,0.0,0.5645933014354066,13.7,14.333333333333334,14.870813397129186,10.2,11.666666666666666,11.842105263157896,4.5,4.0,5.009569377990431,2.9,4.333333333333333,3.9760765550239237,10.9,11.666666666666666,10.617224880382775,9.7,9.0,11.55023923444976,8.2,8.0,5.947368421052632,3.9,7.0,4.574162679425838,1.0,0.33333333333333326,0.3333333333333333,1.3333333333333333
