,FTR
0,2.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
9,1.0
10,1.0
11,1.0
13,1.0
19,1.0
20,1.0
21,2.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
30,1.0
31,1.0
32,1.0
40,1.0
41,2.0
42,2.0
44,1.0
45,1.0
47,2.0
48,2.0
49,1.0
52,1.0
58,2.0
59,2.0
60,2.0
61,2.0
62,1.0
63,1.0
64,2.0
65,2.0
67,2.0
69,1.0
70,2.0
77,2.0
79,2.0
80,1.0
83,1.0
85,2.0
86,2.0
87,2.0
88,1.0
89,1.0
91,2.0
96,2.0
97,2.0
98,1.0
100,1.0
102,2.0
103,2.0
105,1.0
110,2.0
115,1.0
116,2.0
117,2.0
118,2.0
120,2.0
121,1.0
123,2.0
125,2.0
126,1.0
127,1.0
128,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
146,1.0
147,1.0
148,1.0
153,2.0
154,1.0
155,2.0
156,2.0
157,2.0
159,1.0
160,1.0
161,2.0
163,1.0
164,1.0
165,1.0
166,2.0
167,2.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,2.0
184,1.0
190,2.0
191,2.0
192,1.0
193,2.0
194,2.0
195,1.0
197,2.0
198,2.0
200,2.0
201,1.0
202,2.0
203,1.0
204,1.0
211,1.0
212,1.0
213,1.0
216,1.0
217,1.0
218,2.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
229,2.0
231,2.0
232,1.0
233,2.0
234,2.0
235,2.0
236,1.0
237,2.0
238,1.0
239,2.0
240,2.0
241,2.0
242,2.0
243,1.0
249,1.0
251,1.0
253,1.0
254,2.0
255,1.0
257,2.0
258,1.0
259,2.0
261,2.0
262,2.0
263,2.0
269,1.0
270,2.0
272,1.0
273,1.0
274,1.0
276,1.0
277,2.0
278,2.0
279,2.0
280,2.0
281,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,2.0
295,2.0
296,2.0
297,1.0
300,2.0
301,1.0
306,1.0
308,2.0
311,1.0
313,1.0
314,1.0
316,2.0
317,1.0
319,1.0
320,1.0
325,1.0
327,2.0
328,2.0
329,1.0
331,2.0
332,1.0
333,2.0
335,2.0
336,1.0
338,2.0
339,1.0
344,1.0
345,1.0
347,2.0
348,1.0
349,2.0
351,2.0
353,1.0
354,1.0
355,2.0
356,1.0
357,1.0
364,1.0
365,2.0
367,1.0
368,1.0
369,2.0
370,2.0
371,1.0
372,2.0
373,1.0
374,1.0
383,1.0
384,2.0
385,1.0
387,1.0
388,2.0
389,1.0
390,1.0
391,2.0
392,1.0
394,1.0
395,1.0
396,1.0
397,1.0
400,1.0
401,1.0
402,1.0
403,2.0
404,1.0
406,2.0
407,2.0
408,1.0
410,2.0
412,1.0
413,2.0
414,1.0
415,1.0
416,2.0
417,2.0
418,2.0
419,2.0
420,1.0
422,1.0
423,2.0
424,1.0
425,2.0
426,2.0
427,1.0
428,2.0
429,1.0
430,2.0
431,2.0
432,1.0
433,1.0
434,1.0
435,1.0
436,2.0
437,2.0
438,2.0
439,2.0
441,2.0
444,2.0
446,1.0
447,2.0
448,2.0
452,2.0
453,1.0
455,2.0
456,2.0
457,2.0
459,2.0
463,1.0
464,2.0
465,2.0
467,1.0
468,1.0
470,1.0
471,2.0
472,2.0
473,2.0
476,2.0
477,1.0
478,1.0
479,1.0
480,1.0
481,2.0
482,1.0
483,1.0
484,2.0
486,1.0
487,2.0
489,2.0
490,1.0
491,1.0
492,2.0
494,2.0
496,1.0
497,1.0
499,2.0
500,1.0
503,1.0
504,2.0
505,2.0
506,1.0
508,1.0
509,2.0
510,1.0
512,1.0
514,1.0
515,1.0
516,1.0
518,1.0
519,1.0
520,1.0
521,1.0
523,2.0
524,1.0
525,1.0
526,1.0
528,1.0
529,1.0
530,1.0
531,1.0
532,1.0
533,2.0
534,2.0
536,2.0
538,1.0
539,2.0
540,1.0
541,2.0
543,2.0
544,2.0
545,2.0
547,2.0
548,1.0
549,1.0
551,2.0
553,1.0
555,1.0
557,1.0
560,1.0
561,1.0
562,2.0
564,1.0
566,1.0
567,1.0
568,1.0
569,1.0
570,1.0
571,1.0
572,1.0
573,1.0
574,1.0
575,1.0
576,2.0
580,1.0
581,2.0
583,1.0
584,1.0
585,1.0
586,1.0
587,1.0
588,1.0
590,1.0
591,2.0
592,1.0
595,2.0
597,1.0
599,2.0
600,2.0
601,2.0
602,2.0
603,1.0
604,2.0
605,1.0
606,2.0
608,1.0
609,2.0
610,1.0
611,1.0
612,2.0
613,1.0
614,1.0
615,1.0
616,1.0
617,1.0
618,1.0
619,1.0
620,1.0
621,1.0
622,1.0
623,1.0
624,1.0
625,2.0
626,1.0
627,2.0
628,1.0
631,2.0
632,1.0
633,1.0
634,1.0
635,1.0
636,1.0
637,2.0
638,2.0
642,1.0
645,1.0
646,2.0
647,1.0
648,2.0
649,2.0
650,1.0
652,2.0
654,1.0
656,1.0
657,2.0
660,1.0
661,2.0
662,1.0
663,1.0
665,2.0
667,1.0
669,2.0
671,1.0
674,1.0
675,2.0
678,1.0
679,1.0
680,1.0
681,2.0
682,2.0
685,2.0
688,1.0
689,1.0
690,2.0
691,2.0
692,1.0
693,1.0
694,1.0
696,1.0
698,1.0
699,1.0
700,2.0
702,1.0
703,1.0
704,1.0
706,2.0
707,2.0
709,1.0
711,1.0
712,1.0
713,2.0
714,1.0
715,1.0
716,1.0
717,2.0
718,1.0
719,1.0
723,1.0
726,1.0
728,1.0
729,1.0
730,1.0
732,1.0
734,2.0
736,1.0
737,2.0
739,2.0
740,2.0
741,1.0
742,2.0
744,1.0
746,2.0
747,2.0
749,2.0
750,1.0
751,1.0
752,2.0
753,1.0
755,2.0
758,2.0
759,1.0
762,2.0
763,2.0
764,1.0
765,2.0
766,2.0
767,2.0
768,1.0
769,2.0
770,2.0
771,2.0
772,1.0
773,2.0
774,1.0
776,1.0
777,2.0
778,2.0
779,1.0
780,2.0
784,1.0
785,2.0
786,2.0
787,1.0
788,1.0
789,2.0
790,1.0
791,1.0
793,1.0
794,1.0
795,2.0
796,1.0
798,1.0
799,1.0
801,1.0
802,1.0
807,1.0
809,1.0
812,2.0
813,1.0
814,2.0
816,2.0
817,2.0
818,1.0
820,1.0
821,1.0
823,1.0
824,1.0
825,2.0
827,2.0
828,1.0
829,1.0
830,1.0
833,1.0
834,1.0
835,1.0
836,1.0
837,2.0
838,2.0
842,1.0
843,2.0
845,2.0
846,2.0
847,2.0
848,1.0
849,2.0
850,2.0
852,1.0
853,1.0
854,1.0
855,1.0
856,1.0
858,1.0
859,2.0
860,2.0
861,2.0
863,2.0
866,2.0
867,2.0
870,2.0
872,1.0
873,1.0
874,1.0
875,1.0
877,1.0
879,1.0
880,2.0
881,2.0
882,1.0
883,1.0
886,2.0
887,2.0
888,1.0
889,1.0
891,1.0
895,2.0
896,2.0
898,1.0
899,2.0
900,1.0
901,2.0
902,2.0
904,2.0
905,2.0
906,2.0
907,1.0
908,1.0
909,2.0
910,1.0
911,1.0
913,2.0
914,1.0
915,1.0
916,1.0
917,1.0
918,1.0
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
924,1.0
925,1.0
926,1.0
927,1.0
928,1.0
930,1.0
931,1.0
932,1.0
933,2.0
934,1.0
935,1.0
936,1.0
937,1.0
938,1.0
940,1.0
942,1.0
943,2.0
944,1.0
945,1.0
946,1.0
947,1.0
948,1.0
949,2.0
952,1.0
955,1.0
956,2.0
957,1.0
958,2.0
959,2.0
960,2.0
961,2.0
964,2.0
965,1.0
966,2.0
969,2.0
971,1.0
972,1.0
973,1.0
974,1.0
975,2.0
976,2.0
977,1.0
978,1.0
980,2.0
981,1.0
983,1.0
984,1.0
986,1.0
987,1.0
988,2.0
989,1.0
990,2.0
